site,item_id
ca_pilot,rp020
ca_pilot,rn040
ca_pilot,rp040
ca_pilot,rn020
ca_pilot,rp080
ca_pilot,rp120
ca_pilot,rp160
ca_pilot,rn120
ca_pilot,rp200
ca_pilot,rn160
ca_pilot,rn080
ca_pilot,rn200
ca_pilot,rp240
ca_pilot,rn240
ca_pilot,rp280
ca_pilot,rp320
ca_pilot,rn280
ca_pilot,rn320
ca_pilot,dp200
ca_pilot,dn040
ca_pilot,dp120
ca_pilot,dn080
ca_pilot,dn160
ca_pilot,dp040
ca_pilot,dn200
ca_pilot,dp080
ca_pilot,dp160
ca_pilot,dn120
ca_pilot,dp240
ca_pilot,dn240
ca_pilot,dp280
ca_pilot,dn280
ca_pilot,dp320
ca_pilot,dn320
ca_pilot,an1240
ca_pilot,ap1280
ca_pilot,ap1320
ca_pilot,ap2240
ca_pilot,an2280
ca_pilot,an2320
ca_pilot,ap6280
ca_pilot,an6320
ca_pilot,ap10240
ca_pilot,ap10320
ca_pilot,an11240
ca_pilot,an11320
ca_pilot,an13280
ca_pilot,ap13240
ca_pilot,an17320
ca_pilot,ap17240
ca_pilot,ap17280
ca_pilot,bn1280
ca_pilot,bp1320
ca_pilot,bn5240
ca_pilot,bn5320
ca_pilot,bn6280
ca_pilot,bp6240
ca_pilot,bp8280
ca_pilot,bn8240
ca_pilot,bn12240
ca_pilot,bn12280
ca_pilot,bp12320
ca_pilot,bp14240
ca_pilot,bn14280
ca_pilot,bn14320
ca_pilot,bn15240
ca_pilot,bp15280
ca_pilot,bp15320
