site,task_id,item_type,model_type,rxx
ca_pilot,egma-math,Rasch,1,0.8629063886863834
co_pilot,egma-math,Rasch,1,0.9309171080293545
de_pilot,egma-math,Rasch,1,0.8798686425471782
ca_pilot,hearts-and-flowers,2PL,1,0.9037477902114215
co_pilot,hearts-and-flowers,2PL,1,0.7732740991333652
de_pilot,hearts-and-flowers,2PL,1,0.7934193637519421
ca_pilot,matrix-reasoning,Rasch,1,0.9600180726377974
co_pilot,matrix-reasoning,Rasch,1,0.939610687238026
de_pilot,matrix-reasoning,Rasch,1,0.8983061342706689
ca_pilot,memory-game,Rasch,1,0.8816941555582534
co_pilot,memory-game,Rasch,1,0.8588214736670841
de_pilot,memory-game,Rasch,1,0.9333903502837421
ca_pilot,mental-rotation,2PL,1,0.8928828926985745
co_pilot,mental-rotation,2PL,1,0.9149154848649877
de_pilot,mental-rotation,2PL,1,0.7882622198428871
ca_pilot,same-different-selection,2PL,1,0.9430093927820675
co_pilot,same-different-selection,2PL,1,0.9764814046055882
de_pilot,same-different-selection,2PL,1,0.9667316379042119
ca_pilot,theory-of-mind,2PL,1,0.7784997001736091
co_pilot,theory-of-mind,2PL,1,0.9215656449386883
de_pilot,theory-of-mind,2PL,1,0.6854675907287323
ca_pilot,trog,Rasch,1,0.7181721123218622
co_pilot,trog,Rasch,1,0.8825597734094017
de_pilot,trog,Rasch,1,0.9564546765066669
ca_pilot,vocab,2PL,1,0.97514462087178
co_pilot,vocab,2PL,1,0.9888910586063444
de_pilot,vocab,2PL,1,0.9825191089820704
