site,task_id,item_type,rxx
ca_pilot,matrix-reasoning,Rasch,0.867089066393951
ca_pilot,mental-rotation,Rasch,0.9176667584041003
ca_pilot,trog,Rasch,0.8710686080518388
ca_pilot,vocab,Rasch,0.9428271167707662
ca_pilot,egma-math,Rasch,0.9131970640568342
ca_pilot,theory-of-mind,Rasch,0.7680208408944817
co_pilot,matrix-reasoning,Rasch,0.9062659540179618
co_pilot,mental-rotation,Rasch,0.9338388257341229
co_pilot,trog,Rasch,0.9196980847706895
co_pilot,vocab,Rasch,0.9556803291146154
co_pilot,egma-math,Rasch,0.9662590638785514
co_pilot,theory-of-mind,2PL,0.9050067704356007
de_pilot,mental-rotation,2PL,0.9206457253006247
de_pilot,matrix-reasoning,Rasch,0.9258993915816158
de_pilot,trog,Rasch,0.891604057294715
de_pilot,vocab,Rasch,0.9173890713756473
de_pilot,egma-math,Rasch,0.9447467881048868
de_pilot,theory-of-mind,2PL,0.8661282525189793
ca_pilot,memory-game,Rasch,0.868771571386883
co_pilot,memory-game,Rasch,0.9449673320658802
de_pilot,memory-game,Rasch,0.9278957518035106
ca_pilot,hearts-and-flowers,Rasch,0.7929777933933639
co_pilot,hearts-and-flowers,2PL,0.8944974756377491
de_pilot,hearts-and-flowers,Rasch,0.8267171506030699
ca_pilot,same-different-selection,Rasch,0.9064397035332457
co_pilot,same-different-selection,2PL,0.9052467101297286
de_pilot,same-different-selection,2PL,0.9137595638965821
