item_task,item_type,model_type,invariance_type,ca_pilot,co_pilot,de_pilot
tom,Rasch,1,configural,0.40553308309108116,0.3020087360491623,0.3365026267978446
math,Rasch,1,metric,0.6981031759147829,0.7988242713056172,0.7056182910284658
matrix,Rasch,1,metric,0.30436632931295793,0.3797799370038474,0.24082986991423616
mg,Rasch,1,metric,0.8491136735106023,0.818693192653699,0.9198743708308241
vocab,Rasch,1,configural,0.710494883092054,0.8290201082750921,0.873963769263655
trog,Rasch,1,metric,0.6724007603850097,0.8370165180848731,0.9096217436440504
mrot,2PL,1,metric,0.901508028042374,0.9169681825438358,0.7944017302882125
ha,Rasch,1,metric,4.5267813938820733e-4,0.005703396231382701,0.002496705316939158
hf,2PL,1,configural,0.8255131552435616,0.9013419068240913,0.8800712189298048
sds,2PL,1,configural,0.9372682405614543,0.9047831650198396,0.9463498751671622
