site,item_task,item_type,rxx
ca_pilot,math,Rasch,0.9025207851470258
co_pilot,math,Rasch,0.9440913700155591
de_pilot,math,Rasch,0.9524394059288436
us_pilot,matrix,Rasch,0.2408439627546902
us_pilot,hf,Rasch,0.8110487171802717
ca_pilot,matrix,Rasch,0.6147311226382275
co_pilot,matrix,Rasch,0.6116230926373003
de_pilot,matrix,Rasch,0.8670251228819994
us_pilot,mg,Rasch,0.6503967984389568
ca_pilot,sds,Rasch,0.9154784283163528
ca_pilot,mg,Rasch,0.941761011646209
co_pilot,mg,Rasch,0.9341688990691579
de_pilot,mg,Rasch,0.9594938434709712
us_pilot,mrot,Rasch,0.3838078625277923
co_pilot,sds,2PL,0.9231550986836567
ca_pilot,mrot,Rasch,0.7483640936762306
co_pilot,mrot,Rasch,0.6864471884669273
de_pilot,mrot,Rasch,0.7944622749180487
us_pilot,tom,Rasch,0.46247250955676467
de_pilot,sds,2PL,0.9388143564095877
ca_pilot,tom,Rasch,0.6319341382539961
co_pilot,tom,Rasch,0.6367856226321993
de_pilot,tom,Rasch,0.653575930546184
ca_pilot,hf,Rasch,0.7475525768826019
us_pilot,sds,Rasch,0.6110823669408104
ca_pilot,trog,Rasch,0.8714975033843916
co_pilot,trog,Rasch,0.8925330256415593
de_pilot,trog,Rasch,0.7919370206280041
co_pilot,hf,2PL,0.9012435975610906
ca_pilot,vocab,Rasch,0.9065427142900047
co_pilot,vocab,Rasch,0.9135189118430579
de_pilot,vocab,Rasch,0.8892657390254939
de_pilot,hf,Rasch,0.8261883075024328
