itemtype,task_code,item,item_group,item_entry,angle,difficulty,interpolated
Rasch,mrot,2d polygon1,2d,polygon1,40,-2.1132516472168463,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,80,-1.3101545185950574,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,120,-0.5070573899732685,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,160,0.2960397386485204,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,160,0.2960397386485204,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,120,-0.5070573899732685,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,80,-1.3101545185950574,TRUE
Rasch,mrot,2d polygon1,2d,polygon1,40,-2.1132516472168463,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,40,-2.1132516472168463,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,80,-1.3101545185950574,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,120,-0.5070573899732685,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,160,0.2960397386485204,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,160,0.2960397386485204,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,120,-0.5070573899732685,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,80,-1.3101545185950574,TRUE
Rasch,mrot,2d polygon2,2d,polygon2,40,-2.1132516472168463,TRUE
2PL,mrot,2d polygon1,2d,polygon1,40,-1.5333532911473289,TRUE
2PL,mrot,2d polygon1,2d,polygon1,80,-0.9297384807363975,TRUE
2PL,mrot,2d polygon1,2d,polygon1,120,-0.3261236703254664,TRUE
2PL,mrot,2d polygon1,2d,polygon1,160,0.27749114008546477,TRUE
2PL,mrot,2d polygon1,2d,polygon1,160,0.27749114008546477,TRUE
2PL,mrot,2d polygon1,2d,polygon1,120,-0.3261236703254664,TRUE
2PL,mrot,2d polygon1,2d,polygon1,80,-0.9297384807363975,TRUE
2PL,mrot,2d polygon1,2d,polygon1,40,-1.5333532911473289,TRUE
2PL,mrot,2d polygon2,2d,polygon2,40,-1.5333532911473289,TRUE
2PL,mrot,2d polygon2,2d,polygon2,80,-0.9297384807363975,TRUE
2PL,mrot,2d polygon2,2d,polygon2,120,-0.3261236703254664,TRUE
2PL,mrot,2d polygon2,2d,polygon2,160,0.27749114008546477,TRUE
2PL,mrot,2d polygon2,2d,polygon2,160,0.27749114008546477,TRUE
2PL,mrot,2d polygon2,2d,polygon2,120,-0.3261236703254664,TRUE
2PL,mrot,2d polygon2,2d,polygon2,80,-0.9297384807363975,TRUE
2PL,mrot,2d polygon2,2d,polygon2,40,-1.5333532911473289,TRUE
