form_subconstruct,Attribution_r,Action_r,Composite_r
Attentional_Focus_and_Working_Memory,-0.01,-0.07,-0.04
Cognitive_Flexibility,-0.05,-0.13,-0.1
Conduct_Problems,0.01,0.12,0.06
Conscientious,0.34,0.08,0.32
Control,-0.16,0.04,-0.11
Curious,0.08,-0,0.07
Emotional_Problems,-0.02,0.16,0.04
Hyperactivity,0.08,0.02,0.08
Inhibitory_Control,-0.05,-0.07,-0.07
Obedient,0.33,-0.05,0.26
Peer_Problems,-0.04,0.16,0.03
Planning_and_Organization,0.06,-0.04,0.02
Prosocial,0.05,0.18,0.12
Stress,-0.17,0.15,-0.08
Warmth,-0.32,-0.42,-0.45
