school,task_category,task,user_id,score
ColA,Math,egma-math,FGq8H0BVdjQkTXbl4QhVL8aPiWp2,-0.6009100118405705
ColA,Executive function,hearts-and-flowers,fntBz5vPkOU9y0ON8C7Gelna8zv2,0.4480946789993583
ColA,Reasoning,matrix-reasoning,BLeqBklDLZUA2ZafS0iQz8AjD2o2,-0.43119010900942106
ColA,Executive function,memory-game,fntBz5vPkOU9y0ON8C7Gelna8zv2,0.4345224685779225
ColA,Spatial cognition,mental-rotation,WRIHKKTBhbO45HFyee7hzQD5uhj2,-0.7550868100219297
ColA,Reading,pa-es,FGq8H0BVdjQkTXbl4QhVL8aPiWp2,0.5
ColA,Reading,pa-es,K0JVy3QcsBPPu2PJwUlHzzK8Mks1,0.5
ColA,Reading,pa-es,gtss6GfKY9fC64sauilUci8Cms72,0.5
ColA,Reading,pa-es,hzDxJ8g1DvMeK1HJxodpIqSUB0Z2,0.5
ColA,Executive function,same-different-selection,Er7Bh1HwjoZmQ3blVMwIlB6mJjC3,-0.3429086547254909
ColA,Reading,sre-es,gtss6GfKY9fC64sauilUci8Cms72,0.08461538461538462
ColA,Reading,swr-es,WRIHKKTBhbO45HFyee7hzQD5uhj2,0.13314952915584433
ColA,Language,vocab,hzDxJ8g1DvMeK1HJxodpIqSUB0Z2,-0.2846959495617364
ColB,Math,egma-math,af3q6IZ1CAaKwD04UGkpnd3NCNU2,-0.9974180225096955
ColB,Math,egma-math,eXG2gIEUhbX96CgbJbRuIQ4blOs2,-1.1308541435778336
ColB,Math,egma-math,9VKWllepuXbr0vBopMUTxhfOlKa2,-1.051402840320101
ColB,Math,egma-math,wcw3RaOmn1Nc2k9jjR291knW6bw1,-1.140925026983155
ColB,Social cognition,emotion-reasoning,EBKw6gYPwmhNet66aXV4z7n6vT13,0
ColB,Social cognition,emotion-reasoning,XYpOTtsolPRB36ty9sPDaYA1w332,0.5
ColB,Social cognition,emotion-reasoning,ZBPpbxzvXEdyavMcFe6Q7N9uiXi2,0.5
ColB,Social cognition,emotion-reasoning,es62bSILvLgzPtsdFRptPUkGBOH2,0.5
ColB,Executive function,hearts-and-flowers,yKXo5YWJl7XADnsDp5tuRfRl0TF2,-1.0803075238944724
ColB,Executive function,hearts-and-flowers,FQ3TW8kbZKMBjO6SxSDhoBTBLwD3,-1.310567852419736
ColB,Social cognition,hostile-attribution,8V4OlSst3hUMsszICeLq478chkB2,0
ColB,Social cognition,hostile-attribution,H74IH2uPEbR3JNMy8iw3FzV3KEN2,0
ColB,Social cognition,hostile-attribution,U7tijhjqXje1P7UvCDY24KKVF0s2,0
ColB,Social cognition,hostile-attribution,af3q6IZ1CAaKwD04UGkpnd3NCNU2,0
ColB,Social cognition,hostile-attribution,eXG2gIEUhbX96CgbJbRuIQ4blOs2,0
ColB,Social cognition,hostile-attribution,es62bSILvLgzPtsdFRptPUkGBOH2,0
ColB,Social cognition,hostile-attribution,rrKC8cxFVdeOuzzAdnc2oQD15C93,0
ColB,Reasoning,matrix-reasoning,sK9cQ9mSvzTo9bTqqGDz0M7E5mW2,-0.43119010900942106
ColB,Reasoning,matrix-reasoning,y0xcxNqWI9YOVrjxSh4HxJLnMFq1,-0.38538197795960194
ColB,Executive function,memory-game,9qlAtQ7ZgtSgOHObYsFQO82gADB3,-2.7817321638407155
ColB,Executive function,memory-game,yKXo5YWJl7XADnsDp5tuRfRl0TF2,-2.7817321638407155
ColB,Executive function,memory-game,VZg9mFSDyeNnzVLP0Q1XYGWKQep2,-2.7817321638407155
ColB,Spatial cognition,mental-rotation,SnbLkf36AjgXGKRIiFp7BmarkMp2,-0.8776684664786003
ColB,Spatial cognition,mental-rotation,Ukbvv2Sc25cWaYHV40uWsPIwMug2,-0.9651069045353203
ColB,Reading,pa-es,U7vKfDj1oShmapjx3QTdo3IVgKO2,0
ColB,Executive function,same-different-selection,FXOsoHcBIrZkS3Ed083c6egLgh63,-1.1762139238086098
ColB,Executive function,same-different-selection,SzGi4jmqU1NNJ1eYXBq0HdiUSxJ2,-1.1634788983663211
ColB,Reading,sre-es,9PXQbuQs7UMvc4eldXpTTU1heDK2,0.007692307692307693
ColB,Reading,sre-es,aVbKPmlCXvMt8Oypp3OVtoMm3Dr2,0.038461538461538464
ColB,Reading,sre-es,bmbb60wH0xXfSOqp1Hv6Td8RkpG2,0.038461538461538464
ColB,Reading,swr-es,8V4OlSst3hUMsszICeLq478chkB2,-4.716607425918124
ColB,Reading,swr-es,wcw3RaOmn1Nc2k9jjR291knW6bw1,-1.011055016298208
ColB,Reading,swr-es,6wPAh4i3iFeUynTUWrRlYmMfpu02,-1.0974680151345806
ColB,Social cognition,theory-of-mind,ofcokQQ52pNDNMlOBPcrrIw0jf13,-1.6063936883367498
ColB,Social cognition,theory-of-mind,zCfDm3x8lLZJS2ydyeMFotXUOQ43,-1.5991433490304028
ColB,Language,trog,Mt0V5z0Z4bSJzlqd8SMlWSMOR1m2,-1.0375726744775076
ColB,Language,trog,zCfDm3x8lLZJS2ydyeMFotXUOQ43,-1.369247183790988
ColC,Math,egma-math,k3RtPNhMCrQCJABVITgLIIsDTx03,-1.3366851386804817
ColC,Math,egma-math,VO8FdlcnHrWEpEGzV0yGMqb6N0A2,-1.1202654099225298
ColC,Math,egma-math,13eavjR5iaNfelLab4E78bPGJZL2,-1.2161222401181853
ColC,Math,egma-math,2JEsdK83CiNOrXIwRHqrpY0LrzW2,-1.2896326180579951
ColC,Math,egma-math,0LCHrD5PhWOJCM8baI8KnMfShCs2,-1.1445255577327922
ColC,Math,egma-math,uhLalKCSIzQhlGCI1tTAdSFeRQh2,-1.4547798757950385
ColC,Math,egma-math,7IoWgqOQzdhiQBkbCn4OAqLnc4G3,-1.296254353016065
ColC,Math,egma-math,66oZlT89CXPtTKAXOY1yJJ6HEY12,-1.1147125667270745
ColC,Math,egma-math,Z1EKkBxlWBX9q0miVwrwJFBSLNC3,-1.51638908196283
ColC,Math,egma-math,x0WvPXfXHlegs8vEje6JcU6kJAN2,-1.2271646690505797
ColC,Math,egma-math,c1Ax0yNfAZVVrZzUqrPTmezRG2i1,-1.1389367225833424
ColC,Social cognition,emotion-reasoning,1fNp7hGiQrXfEncBanpqdSS0Ueg2,0.5
ColC,Social cognition,emotion-reasoning,DgmbNSarsrZ9QeKcLnJckGq4Lug2,0.5
ColC,Social cognition,emotion-reasoning,GmRzl3HTxFhkfEdv38AzoBphBFC3,0.5
