school,task_category,task,user_id,score
ColA,Math,egma-math,OFeNyBR6nZUwylobspAs7kcPeY22,1.927298151097928
ColA,Executive function,hearts-and-flowers,4Hz32FS3tpf0LjKFFUAgLnBvoDd2,0.7671076899831496
ColA,Reasoning,matrix-reasoning,SbDhDR52bkPDMeWbW185Q1gTOJT2,1.1218356599863941
ColA,Executive function,mefs,4Hz32FS3tpf0LjKFFUAgLnBvoDd2,88
ColA,Executive function,memory-game,4Hz32FS3tpf0LjKFFUAgLnBvoDd2,2.1670559300098047
ColA,Spatial cognition,mental-rotation,SbDhDR52bkPDMeWbW185Q1gTOJT2,2.118660813517221
ColA,Executive function,same-different-selection,4Hz32FS3tpf0LjKFFUAgLnBvoDd2,1.806156510578237
ColA,Reading,sre-es,vWiO6XaHwtP831X1Tst8FtwTDGG2,0.3
ColA,Reading,swr-es,SbDhDR52bkPDMeWbW185Q1gTOJT2,2.0236427271399915
ColA,Language,vocab,FGq8H0BVdjQkTXbl4QhVL8aPiWp2,1.0652314592455638
ColB,Math,egma-math,gxGIEPGtHuMANH9tS2sT1lxZ8Fu1,2.1174387426226566
ColB,Math,egma-math,t814HH001agzwKalv8MIR2fu9eF2,2.253918969181957
ColB,Math,egma-math,j8KNRekorbWrpLoUaJrl7H2NSoz2,2.1064986318904895
ColB,Math,egma-math,OqPlx2ZmPDUuAfuwodrc1gwwR5t1,2.209482887096979
ColB,Math,egma-math,cnmkz3WMgtZPUBUkofrY5BUebHQ2,2.247930167491355
ColB,Math,egma-math,ZBPpbxzvXEdyavMcFe6Q7N9uiXi2,2.420539357190326
ColB,Math,egma-math,bza62wSEd4UsgYWrvurMPvGZ0y52,2.195706220235688
ColB,Executive function,hearts-and-flowers,eT4wYiNATggCJYoMzKbP1UPqQzl2,1.2888908784584276
ColB,Executive function,hearts-and-flowers,cnmkz3WMgtZPUBUkofrY5BUebHQ2,1.5940866001895397
ColB,Executive function,hearts-and-flowers,PJZLUdfE10MK1B7UXBOnBZy033C2,1.5940866001895397
ColB,Social cognition,hostile-attribution,0dTcKwmvfjQKvgKcj7wjzQg8Fd33,0.8333333333333334
ColB,Social cognition,hostile-attribution,9xxmKjFXKpbJLMQALGCp98962EP2,0.6666666666666666
ColB,Social cognition,hostile-attribution,NVW4WBokDoZKHIReiND0gcAjvM22,0.8333333333333334
ColB,Social cognition,hostile-attribution,y0xcxNqWI9YOVrjxSh4HxJLnMFq1,0.6666666666666666
ColB,Reasoning,matrix-reasoning,pNZ0jHlsd9gNiaI5SfEIfeZIp8y2,1.2719483141869972
ColB,Reasoning,matrix-reasoning,fx6KWVXZ6rW2ZVghSW3cTNY3mAD3,1.116669004434768
ColB,Reasoning,matrix-reasoning,fJ03YCmXFqX3RT1ZxH2D71deK7z2,1.4164250554189304
ColB,Executive function,mefs,aHnIyZpnqESKA2knuA6ipidfYm82,91
ColB,Executive function,mefs,cnmkz3WMgtZPUBUkofrY5BUebHQ2,92
ColB,Executive function,mefs,PJZLUdfE10MK1B7UXBOnBZy033C2,91
ColB,Executive function,memory-game,DoieqIlrhpaMs7cNn5tKSPjJ0Oj1,2.523978171745736
ColB,Executive function,memory-game,PJZLUdfE10MK1B7UXBOnBZy033C2,2.339699033907527
ColB,Executive function,memory-game,u4OnbRpDwZh4sAQTHOPiuUwoKb63,2.2739586315094322
ColB,Spatial cognition,mental-rotation,BcwCPWr7FMawUWHiFrMwdscyvOg1,2.641458053232205
ColB,Spatial cognition,mental-rotation,fx6KWVXZ6rW2ZVghSW3cTNY3mAD3,2.512790166643132
ColB,Spatial cognition,mental-rotation,bCZjduDwiHhDtZ6KW4v9K0OlliB2,2.5127901666179016
ColB,Executive function,same-different-selection,aHnIyZpnqESKA2knuA6ipidfYm82,1.9092475951420864
ColB,Executive function,same-different-selection,u4OnbRpDwZh4sAQTHOPiuUwoKb63,2.134088156864432
ColB,Executive function,same-different-selection,gqnl4sQMAhgqRVGsZCD8HVNh6bC3,1.9211792914538992
ColB,Reading,sre-es,cnmkz3WMgtZPUBUkofrY5BUebHQ2,0.3111111111111111
ColB,Reading,sre-es,sq5DsRwQU1WZjeRMljxqf7OXWus1,0.3111111111111111
ColB,Reading,sre-es,sq5DsRwQU1WZjeRMljxqf7OXWus1,0.3055555555555556
ColB,Reading,sre-es,tpSbtKQcyaOACOUTaAdbxsRCR6M2,0.35555555555555557
ColB,Reading,swr-es,gzZoMQIyHChDVTbvft69ETD7le73,2.943229271472506
ColB,Reading,swr-es,pNZ0jHlsd9gNiaI5SfEIfeZIp8y2,3.364917473391659
ColB,Reading,swr-es,YnhMGWMiAsXQIRD1kAhNlWPyM5Q2,2.9432292730983587
ColB,Reading,swr-es,fJ03YCmXFqX3RT1ZxH2D71deK7z2,3.3649174723536324
ColB,Reading,swr-es,pA9xNQ83AzcHMXOD8WfP523EDt73,2.9432292608691486
ColB,Social cognition,theory-of-mind,U7tijhjqXje1P7UvCDY24KKVF0s2,1.935509424103024
ColB,Social cognition,theory-of-mind,UhYt40T8tyQZKZ1sy7Kr2jEohWX2,1.838622273083067
