site,item_task,is_cat,median_diff,min_diff,max_diff,combined_diff
pilot_leuphana_de,ha,FALSE,1.92,0.5,3.5,"1.92 [0.5, 3.5]"
pilot_leuphana_de,hf,FALSE,3.14,0.92,7.31,"3.14 [0.92, 7.31]"
pilot_leuphana_de,math,FALSE,14.35,3.01,16.16,"14.35 [3.01, 16.16]"
pilot_leuphana_de,math,NA,14.14,6.54,14.84,"14.14 [6.54, 14.84]"
pilot_leuphana_de,matrix,FALSE,8.63,0.22,14.84,"8.63 [0.22, 14.84]"
pilot_leuphana_de,mg,FALSE,4.13,0.59,5114.73,"4.13 [0.59, 5114.73]"
pilot_leuphana_de,mrot,FALSE,8.9,0.25,9.54,"8.9 [0.25, 9.54]"
pilot_leuphana_de,mrot,TRUE,3.29,0.65,3.53,"3.29 [0.65, 3.53]"
pilot_leuphana_de,sds,FALSE,9.71,2.42,10.02,"9.71 [2.42, 10.02]"
pilot_leuphana_de,sre,FALSE,3.02,1.4,3.56,"3.02 [1.4, 3.56]"
pilot_leuphana_de,swr,FALSE,7.35,5.15,15.51,"7.35 [5.15, 15.51]"
pilot_leuphana_de,tom,FALSE,8.99,1.2,15.95,"8.99 [1.2, 15.95]"
pilot_leuphana_de,trog,FALSE,8.88,0.2,10.19,"8.88 [0.2, 10.19]"
pilot_leuphana_de,trog,TRUE,3.76,3.15,3.94,"3.76 [3.15, 3.94]"
pilot_leuphana_de,vocab,FALSE,9.52,5.17,10.99,"9.52 [5.17, 10.99]"
pilot_leuphana_de,vocab,TRUE,3.47,0.87,3.91,"3.47 [0.87, 3.91]"
pilot_uniandes_co,ha,FALSE,1.65,0.71,3.73,"1.65 [0.71, 3.73]"
pilot_uniandes_co,hf,FALSE,2.89,1.67,11.26,"2.89 [1.67, 11.26]"
pilot_uniandes_co,math,FALSE,14.37,0.82,25.7,"14.37 [0.82, 25.7]"
pilot_uniandes_co,matrix,FALSE,1.12,0.13,7.27,"1.12 [0.13, 7.27]"
pilot_uniandes_co,matrix,TRUE,5.21,0.12,7.25,"5.21 [0.12, 7.25]"
pilot_uniandes_co,mg,FALSE,4.85,1.89,9.1,"4.85 [1.89, 9.1]"
pilot_uniandes_co,mg,NA,1.71,0.16,4.69,"1.71 [0.16, 4.69]"
pilot_uniandes_co,mrot,FALSE,1.85,0.11,11.89,"1.85 [0.11, 11.89]"
pilot_uniandes_co,mrot,TRUE,3.26,2.33,5.15,"3.26 [2.33, 5.15]"
pilot_uniandes_co,pa,FALSE,4.37,1.24,8.11,"4.37 [1.24, 8.11]"
pilot_uniandes_co,sds,FALSE,4.32,0.45,11.79,"4.32 [0.45, 11.79]"
pilot_uniandes_co,sre,FALSE,3.07,1.97,6.15,"3.07 [1.97, 6.15]"
pilot_uniandes_co,swr,FALSE,8.08,4.98,27.06,"8.08 [4.98, 27.06]"
pilot_uniandes_co,tom,FALSE,7.1,0.99,11.96,"7.1 [0.99, 11.96]"
pilot_uniandes_co,trog,FALSE,6.77,0.07,9.92,"6.77 [0.07, 9.92]"
pilot_uniandes_co,trog,TRUE,3.77,3.37,5.35,"3.77 [3.37, 5.35]"
pilot_uniandes_co,vocab,FALSE,7.24,0.27,14.14,"7.24 [0.27, 14.14]"
pilot_uniandes_co,vocab,TRUE,3.75,3.07,5.44,"3.75 [3.07, 5.44]"
pilot_western_ca,ha,FALSE,1.54,0.92,2.45,"1.54 [0.92, 2.45]"
pilot_western_ca,hf,FALSE,2.58,1.7,7.6,"2.58 [1.7, 7.6]"
pilot_western_ca,math,FALSE,14.31,3.34,15.05,"14.31 [3.34, 15.05]"
pilot_western_ca,math,TRUE,6.44,1.33,7.29,"6.44 [1.33, 7.29]"
pilot_western_ca,math,NA,6.67,5.86,6.79,"6.67 [5.86, 6.79]"
pilot_western_ca,matrix,FALSE,5.19,0.36,14.72,"5.19 [0.36, 14.72]"
pilot_western_ca,matrix,TRUE,5.44,2.28,5.75,"5.44 [2.28, 5.75]"
pilot_western_ca,mg,FALSE,4.57,0.37,8.9,"4.57 [0.37, 8.9]"
pilot_western_ca,mrot,FALSE,8.1,1.1,9.52,"8.1 [1.1, 9.52]"
pilot_western_ca,mrot,TRUE,3.33,1.74,3.5,"3.33 [1.74, 3.5]"
pilot_western_ca,pa,FALSE,8.21,1.58,20.78,"8.21 [1.58, 20.78]"
pilot_western_ca,sds,FALSE,9.82,9.31,10,"9.82 [9.31, 10]"
pilot_western_ca,sds,TRUE,5.72,1.68,5.95,"5.72 [1.68, 5.95]"
pilot_western_ca,sre,FALSE,2.95,1.53,6.73,"2.95 [1.53, 6.73]"
pilot_western_ca,swr,FALSE,6.12,4.96,11.01,"6.12 [4.96, 11.01]"
pilot_western_ca,tom,FALSE,7.4,4.7,11.17,"7.4 [4.7, 11.17]"
pilot_western_ca,trog,FALSE,6.88,0.05,9.59,"6.88 [0.05, 9.59]"
pilot_western_ca,trog,TRUE,3.76,2.41,3.94,"3.76 [2.41, 3.94]"
pilot_western_ca,vocab,FALSE,8.66,0.35,9.89,"8.66 [0.35, 9.89]"
pilot_western_ca,vocab,TRUE,3.64,3.36,3.91,"3.64 [3.36, 3.91]"
