task_category,task_id,is_cat,ca_pilot,co_pilot,de_pilot,us_pilot
Executive function,hearts-and-flowers,FALSE,2.53,2.9,3.23,3.79
Executive function,memory-game,FALSE,4.54,2.01,3.32,1.37
Executive function,same-different-selection,FALSE,9.79,4.32,9.71,3.95
Math,egma-math,FALSE,14.27,14.36,14.36,NA
Reasoning,matrix-reasoning,FALSE,5.19,1.1,10.18,1.8
Spatial cognition,mental-rotation,FALSE,7.35,1.85,8.9,4.86
Language,trog,FALSE,6.58,6.77,8.79,NA
Language,vocab,FALSE,7,7.24,9.52,NA
Reading,pa,FALSE,7.55,4.37,NA,NA
Reading,sre,FALSE,5.34,3.06,3.02,NA
Reading,swr,FALSE,5.68,8.08,7.36,NA
Social cognition,theory-of-mind,FALSE,9.52,8.93,11.34,9.18
