Task,Item,N,p,pbis,flag_p,flag_pbis
ha,ha_bounce_action,127,0.134,0.43,TRUE,FALSE
ha,ha_bounce_attribution,416,0.204,0.438,FALSE,FALSE
ha,ha_bump_action,105,0.162,0.434,TRUE,FALSE
ha,ha_bump_attribution,391,0.274,0.369,FALSE,FALSE
ha,ha_knock_action,299,0.157,0.366,TRUE,FALSE
ha,ha_knock_attribution,365,0.512,0.31,FALSE,FALSE
hf,hf_flowers_flower,635,0.937,0.354,TRUE,FALSE
hf,hf_hearts_heart,635,0.972,0.193,TRUE,TRUE
hf,hf_heartsflowers_flower,629,0.941,0.276,TRUE,FALSE
hf,hf_heartsflowers_heart,628,0.927,0.225,TRUE,FALSE
math,math_add_10_2,732,0.956,0.161,TRUE,TRUE
math,math_add_10_3,172,0.959,0.276,TRUE,FALSE
math,math_add_11_4,163,0.883,0.342,FALSE,FALSE
math,math_add_12_14,696,0.836,0.26,FALSE,FALSE
math,math_add_13_14,143,0.874,0.284,FALSE,FALSE
math,math_add_13_6,726,0.866,0.249,FALSE,FALSE
math,math_add_14_7,153,0.882,0.365,FALSE,FALSE
math,math_add_16_4,155,0.916,0.339,TRUE,FALSE
math,math_add_17_6,149,0.866,0.342,FALSE,FALSE
math,math_add_18_7,718,0.836,0.227,FALSE,FALSE
math,math_add_1_3,1065,0.905,0.254,TRUE,FALSE
math,math_add_1_6,184,0.924,0.059,TRUE,TRUE
math,math_add_1_9,180,0.972,0.031,TRUE,TRUE
math,math_add_22_37,669,0.77,0.308,FALSE,FALSE
math,math_add_23_7,141,0.872,0.223,FALSE,FALSE
math,math_add_29_54,133,0.729,0.131,FALSE,TRUE
math,math_add_2_3,1012,0.913,0.238,TRUE,FALSE
math,math_add_2_8,860,0.91,0.173,TRUE,TRUE
math,math_add_38_26,644,0.629,0.354,FALSE,FALSE
math,math_add_3_17,155,0.916,0.369,TRUE,FALSE
math,math_add_3_3,910,0.959,0.183,TRUE,TRUE
math,math_add_3_5,181,0.978,0.256,TRUE,FALSE
math,math_add_3_8,180,0.872,0.234,FALSE,FALSE
math,math_add_3_9,872,0.869,0.201,FALSE,FALSE
math,math_add_48_30,134,0.948,0.173,TRUE,TRUE
math,math_add_4_5,933,0.908,0.262,TRUE,FALSE
math,math_add_4_7,820,0.854,0.218,FALSE,FALSE
math,math_add_5_12,157,0.873,0.279,FALSE,FALSE
math,math_add_5_19,146,0.904,0.298,TRUE,FALSE
math,math_add_5_2,187,0.947,0.282,TRUE,FALSE
math,math_add_5_6,176,0.909,0.369,TRUE,FALSE
math,math_add_5_9,170,0.888,0.341,FALSE,FALSE
math,math_add_6_2,981,0.877,0.28,FALSE,FALSE
math,math_add_6_4,178,0.966,0.235,TRUE,FALSE
math,math_add_6_7,803,0.831,0.225,FALSE,FALSE
math,math_add_6_9,160,0.887,0.239,FALSE,FALSE
math,math_add_7_2,179,0.939,0.172,TRUE,TRUE
math,math_add_7_3,893,0.899,0.176,FALSE,TRUE
math,math_add_7_5,802,0.838,0.156,FALSE,TRUE
math,math_add_7_8,826,0.832,0.253,FALSE,FALSE
math,math_add_8_1,903,0.952,0.169,TRUE,TRUE
math,math_add_8_10,728,0.937,0.227,TRUE,FALSE
math,math_add_8_14,151,0.894,0.409,FALSE,FALSE
math,math_add_8_5,737,0.9,0.209,FALSE,FALSE
math,math_add_8_6,825,0.846,0.232,FALSE,FALSE
math,math_add_8_8,746,0.881,0.23,FALSE,FALSE
math,math_add_9_3,845,0.908,0.199,TRUE,TRUE
math,math_add_9_7,158,0.873,0.298,FALSE,FALSE
math,math_add_9_8,770,0.794,0.332,FALSE,FALSE
math,math_compare_11_24,1075,0.942,0.257,TRUE,FALSE
math,math_compare_146_153,1040,0.898,0.191,FALSE,TRUE
math,math_compare_22_19,196,0.893,0.345,FALSE,FALSE
math,math_compare_27_36,195,0.908,0.255,TRUE,FALSE
math,math_compare_287_534,1034,0.765,0.227,FALSE,FALSE
math,math_compare_307_198,195,0.856,0.392,FALSE,FALSE
math,math_compare_390_435,195,0.897,0.28,FALSE,FALSE
math,math_compare_39_23,1057,0.957,0.205,TRUE,FALSE
math,math_compare_45_39,196,0.872,0.199,FALSE,TRUE
math,math_compare_58_49,1044,0.921,0.163,TRUE,TRUE
math,math_compare_623_632,1031,0.892,0.258,FALSE,FALSE
math,math_compare_65_67,1053,0.94,0.181,TRUE,TRUE
math,math_compare_69_82,196,0.883,0.307,FALSE,FALSE
math,math_compare_6_4,196,0.99,0.175,TRUE,TRUE
math,math_compare_73_46,196,0.898,0.276,FALSE,FALSE
math,math_compare_742_673,195,0.887,0.267,FALSE,FALSE
math,math_compare_7_5,1097,0.933,0.218,TRUE,FALSE
math,math_compare_823_861,195,0.897,0.383,FALSE,FALSE
math,math_compare_867_965,1021,0.783,0.216,FALSE,FALSE
math,math_compare_94_78,1019,0.897,0.15,FALSE,TRUE
math,math_fraction_12_14_34,14,0.643,0.592,FALSE,FALSE
math,math_fraction_13_17_421,3,0.667,NA,FALSE,FALSE
math,math_fraction_13_23_1,79,0.139,-0.092,TRUE,TRUE
math,math_fraction_13_25_1115,1,1,NA,TRUE,FALSE
math,math_fraction_14_24_34,300,0.253,-0.064,FALSE,TRUE
math,math_fraction_16_13_12,19,0.316,-0.079,FALSE,TRUE
math,math_fraction_17_314_514,5,0.2,-0.293,FALSE,TRUE
math,math_fraction_18_48_58,23,0.652,0.26,FALSE,FALSE
math,math_fraction_19_110_190,3,0.333,NA,FALSE,FALSE
math,math_fraction_28_39_712,1,0,NA,TRUE,FALSE
math,math_fraction_32_14_74,9,0.556,0.613,FALSE,FALSE
math,math_fraction_34_12_14,1,0,NA,TRUE,FALSE
math,math_fraction_37_114_514,1,1,NA,TRUE,FALSE
math,math_fraction_39_13_23,2,0,NA,TRUE,FALSE
math,math_fraction_48_18_38,5,0.8,-0.997,FALSE,TRUE
math,math_fraction_512_16_14,4,0.5,NA,FALSE,FALSE
math,math_fraction_512_16_712,2,0.5,NA,FALSE,FALSE
math,math_fraction_710_25_310,5,0.6,0.459,FALSE,FALSE
math,math_identify_0,1120,0.951,0.14,TRUE,TRUE
math,math_identify_101,196,0.821,0.435,FALSE,FALSE
math,math_identify_108,1074,0.953,0.175,TRUE,TRUE
math,math_identify_12,1108,0.891,0.269,FALSE,FALSE
math,math_identify_131,196,0.872,0.473,FALSE,FALSE
math,math_identify_14,197,0.944,0.299,TRUE,FALSE
math,math_identify_18,197,0.98,0.093,TRUE,TRUE
math,math_identify_2,1092,0.973,0.122,TRUE,TRUE
math,math_identify_22,1127,0.926,0.192,TRUE,TRUE
math,math_identify_23,1079,0.905,0.222,TRUE,FALSE
math,math_identify_245,1060,0.886,0.268,FALSE,FALSE
math,math_identify_256,196,0.827,0.229,FALSE,FALSE
math,math_identify_26,197,0.914,0.285,TRUE,FALSE
math,math_identify_30,1107,0.908,0.285,TRUE,FALSE
math,math_identify_33,1061,0.93,0.188,TRUE,TRUE
math,math_identify_349,195,0.8,0.437,FALSE,FALSE
math,math_identify_35,197,0.939,0.091,TRUE,TRUE
math,math_identify_39,1087,0.903,0.244,TRUE,FALSE
math,math_identify_41,197,0.914,0.343,TRUE,FALSE
math,math_identify_426,196,0.862,0.354,FALSE,FALSE
math,math_identify_45,1090,0.887,0.266,FALSE,FALSE
math,math_identify_47,196,0.862,0.263,FALSE,FALSE
math,math_identify_48,1074,0.901,0.22,TRUE,FALSE
math,math_identify_50,196,0.954,0.263,TRUE,FALSE
math,math_identify_543,196,0.893,0.411,FALSE,FALSE
math,math_identify_55,196,0.969,0.154,TRUE,TRUE
math,math_identify_587,1054,0.861,0.248,FALSE,FALSE
math,math_identify_6,197,0.964,0.208,TRUE,FALSE
math,math_identify_617,196,0.867,0.439,FALSE,FALSE
math,math_identify_65,1048,0.88,0.235,FALSE,FALSE
math,math_identify_66,196,0.959,0.172,TRUE,TRUE
math,math_identify_67,196,0.974,0.12,TRUE,TRUE
math,math_identify_731,1045,0.892,0.218,FALSE,FALSE
math,math_identify_74,1052,0.915,0.242,TRUE,FALSE
math,math_identify_87,1048,0.87,0.202,FALSE,FALSE
math,math_identify_877,196,0.939,0.277,TRUE,FALSE
math,math_identify_88,196,0.974,0.158,TRUE,TRUE
math,math_identify_9,1120,0.936,0.201,TRUE,FALSE
math,math_identify_91,1065,0.912,0.303,TRUE,FALSE
math,math_identify_989,1036,0.911,0.156,TRUE,TRUE
math,math_line_012_1,15,0.467,0.413,FALSE,FALSE
math,math_line_01_1,102,0.451,-0.003,FALSE,TRUE
math,math_line_027_1,15,0.533,-0.309,FALSE,TRUE
math,math_line_02_1,85,0.482,-0.042,FALSE,TRUE
math,math_line_034_1,93,0.699,0.436,FALSE,FALSE
math,math_line_045_1,97,0.732,0.152,FALSE,TRUE
math,math_line_04_1,13,0.846,-0.267,FALSE,TRUE
math,math_line_056_1,13,0.385,0.103,FALSE,TRUE
math,math_line_06_1,12,0.333,0.161,FALSE,TRUE
math,math_line_071_1,12,0.583,-0.237,FALSE,TRUE
math,math_line_075_1,88,0.909,0.175,TRUE,TRUE
math,math_line_087_1,10,0.9,0.048,FALSE,TRUE
math,math_line_08_1,10,0.8,-0.124,FALSE,TRUE
math,math_line_09_1,87,0.471,0.227,FALSE,FALSE
math,math_line_126_1000,100,0.85,0.062,FALSE,TRUE
math,math_line_143_1000,46,0.196,0.051,TRUE,TRUE
math,math_line_14_100,140,0.65,0.097,FALSE,TRUE
math,math_line_186_1000,44,0.205,0.084,FALSE,TRUE
math,math_line_18_100,68,0.515,-0.074,FALSE,TRUE
math,math_line_1_10,295,0.549,0.259,FALSE,FALSE
math,math_line_214_1000,43,0.279,-0.155,FALSE,TRUE
math,math_line_21_100,65,0.523,0.11,FALSE,TRUE
math,math_line_258_1000,138,0.652,0.282,FALSE,FALSE
