Category,Task,n,Mean,Median,SD,school
Executive function,hearts-and-flowers,179,0.7173765720890553,0.78125,0.22869544949931542,all
Executive function,memory-game,163,4.006134969325154,4,1.3402456588682818,all
Math,egma-math,671,0.07168597437149882,0.19734992876286128,1.744114713218348,all
Reasoning,matrix-reasoning,232,0.06773896135598007,0.09239320584969576,0.3299631980958195,all
Spatial cognition,mental-rotation,194,0.023905960331843036,-0.1671628965404823,0.7277818082605194,all
Language,trog,290,0.01008292006636974,0.22910935533043358,1.1674515374833994,all
Language,vocab,253,0.25564097224861276,0.76,1.2042195920736438,all
Reading,sre-es,213,29.051643192488267,27,13.46071010856429,all
Reading,swr-es,233,0.5039969406556305,0.8471073256618195,1.717154204234309,all
Social cognition,theory-of-mind,386,0.23236596071072785,0.14389980836984317,1.5029892161220502,all
NA,emotion-reasoning,386,-0.006556361739575384,-0.04607812726642514,0.2355578603829344,all
NA,mefs,131,70.3206106870229,71,16.503737187760052,all
Executive function,hearts-and-flowers,8,0.890625,0.890625,0.06469364618834571,A
Executive function,memory-game,8,4.875,5,0.6408699444616557,A
Math,egma-math,35,0.6617489033211998,0.6228071469927441,1.3090171258974415,A
Reasoning,matrix-reasoning,17,0.25733969508037996,0.215825708852398,0.3035452597694585,A
Spatial cognition,mental-rotation,17,0.3848197249575571,0.42076234455398404,0.8060900263750345,A
Language,trog,3,-0.1902342939299259,0.12297075533760947,0.6835916561688379,A
Language,vocab,14,0.9577690872076076,0.8549815958575082,0.5932087365506828,A
Reading,sre-es,15,34.733333333333334,35,14.611476246267456,A
Reading,swr-es,20,0.7536639649518966,1.1002844401501282,0.9874813606102092,A
Social cognition,theory-of-mind,3,1.084597091767031,0.9087993347203435,1.5423623187938371,A
NA,emotion-reasoning,3,0.1587468119278021,0.2597621773346042,0.17496374522971683,A
NA,mefs,8,71.125,71.5,12.33389638354401,A
Executive function,hearts-and-flowers,36,0.7858382936507936,0.8125,0.16249189158647026,B
Executive function,memory-game,33,4.242424242424242,4,1.3699977880981928,B
Math,egma-math,80,0.24561529735766244,-0.2044922312557121,1.5128384664264363,B
Reasoning,matrix-reasoning,38,0.17190215448757962,0.17746849897617656,0.30992477919734834,B
Spatial cognition,mental-rotation,38,0.11057983879683272,-0.08373659079045649,0.6235921886957698,B
Language,trog,35,0.3844504173273493,0.5382725722878496,1.006276537354438,B
Reading,sre-es,41,31.585365853658537,30,15.557916971362358,B
Reading,swr-es,44,1.1618444130908805,1.2847711384848055,1.0800135797296884,B
Social cognition,theory-of-mind,70,0.5251405113410741,0.496774103567796,1.5412595004730483,B
NA,emotion-reasoning,70,0.01796364810096138,-0.0535801081177427,0.20283055181410556,B
NA,mefs,33,75.03030303030303,71,11.220753229186668,B
Executive function,hearts-and-flowers,69,0.7056159420289855,0.78125,0.2429737472947791,C
Executive function,memory-game,66,4.03030303030303,4,1.300528850650877,C
Math,egma-math,232,0.4501112149848914,0.5589398286989115,1.533320172205727,C
Reasoning,matrix-reasoning,74,0.16979681596866086,0.1391112896087316,0.255444287930146,C
Spatial cognition,mental-rotation,74,0.01999096458466952,-0.19279172529492777,0.7084252878452351,C
Language,trog,119,0.5692129785724883,0.6330977144409353,0.8911202733787605,C
Language,vocab,84,0.8795416719253808,0.8261481666875234,0.6434762283956074,C
Reading,sre-es,87,29.908045977011497,27,13.357022527066396,C
Reading,swr-es,93,0.721172581859285,0.7689853221947281,1.2727290027795113,C
Social cognition,theory-of-mind,152,0.6094259674676517,0.5156757398222325,1.3676106639617394,C
NA,emotion-reasoning,152,0.04407475501792357,0.1820957840897785,0.20495359617402786,C
NA,mefs,27,71.14814814814815,74,20.504603054893465,C
Executive function,hearts-and-flowers,66,0.6713292095835199,0.71875,0.24126139023875767,D
Executive function,memory-game,56,3.7142857142857144,3.5,1.3845154809113245,D
Math,egma-math,177,-0.4437860210148872,-0.29543211805545383,1.8129480813190284,D
Reasoning,matrix-reasoning,66,0.06590680809589017,0.04100979283707849,0.3041031705166495,D
Spatial cognition,mental-rotation,65,-0.11670068112994028,-0.28814374831480083,0.7605375221964705,D
Language,trog,66,-0.3658264262172567,-0.14660983291275342,1.236127363626154,D
Language,vocab,66,0.5837058689380031,0.795727620079153,0.8471164075520053,D
Reading,sre-es,70,25.28571428571429,24.5,11.16041510986176,D
Reading,swr-es,76,-0.20831837388405613,0.6187655317754828,2.3184307171112404,D
Social cognition,theory-of-mind,128,-0.17507198190537682,-0.17711051699815739,1.4300135908908522,D
NA,emotion-reasoning,128,-0.06922887312748476,-0.05957265496683592,0.24675530164764387,D
NA,mefs,63,67.39682539682539,70,17.08096439309134,D
Math,egma-math,147,-0.1400328078805374,0.18274968145524678,1.9862726619587612,E
Reasoning,matrix-reasoning,37,-0.32720084779234504,-0.3785501819012592,0.22248606386980257,E
Language,trog,67,-0.7992957496299611,-0.8536626592346107,1.0302841881973503,E
Language,vocab,89,-0.6869403262207605,-0.6667451260495787,1.3231982600146346,E
Social cognition,theory-of-mind,33,-0.622542412303944,-0.7693383507078813,1.6177884401637563,E
NA,emotion-reasoning,33,-0.06371267990100422,-0.09035752701414472,0.31931581252723673,E
