source,block_index,task,trial_type,difficulty,audio_file,prompt,orig_item_num,item,time_limit,answer,notes,response_alternatives,assessment_stage,chance_level,item_id
EGMA,0,math,instructions,,math-instructions1,We are going to play some counting games and some number games. Are you ready?,,,,,,,instructions,,
EGMA,1,math,Number Identification,-2.5,number-identification-1,Choose the number you hear.,0,1,5000,1,practice,"3,6,9",practice_response,0.25,num-ident-1
EGMA,1,math,Number Identification,-2.5,number-identification-2,Choose the number you hear.,1,2,5000,2,,"5,4,7",test_response,0.25,num-ident-2
EGMA,1,math,Number Identification,-2.5,number-identification-3,Choose the number you hear.,2,9,5000,9,,"0,8,3",test_response,0.25,num-ident-9
EGMA,1,math,Number Identification,-2.5,number-identification-4,Choose the number you hear.,3,0,5000,0,,"1,9,10",test_response,0.25,num-ident-0
EGMA,1,math,Number Identification,-2.5,number-identification-5,Choose the number you hear.,4,12,5000,12,,"6,11,21",test_response,0.25,num-ident-12
EGMA,1,math,Number Identification,-2.5,number-identification-6,Choose the number you hear.,5,30,5000,30,,"20,60,13",test_response,0.25,num-ident-30
EGMA,1,math,Number Identification,-2.5,number-identification-7,Choose the number you hear.,6,22,5000,22,,"44,52,20",test_response,0.25,num-ident-22
EGMA,1,math,Number Identification,-2.5,number-identification-8,Choose the number you hear.,7,45,5000,45,,"65,54,40",test_response,0.25,num-ident-45
EGMA,1,math,Number Identification,-2.5,number-identification-9,Choose the number you hear.,8,39,5000,39,,"29,38,79",test_response,0.25,num-ident-39
EGMA,1,math,Number Identification,-2.5,number-identification-10,Choose the number you hear.,9,23,5000,23,,"32,21,43",test_response,0.25,num-ident-23
EGMA,1,math,Number Identification,-2.5,number-identification-11,Choose the number you hear.,10,48,5000,48,,"58,40,84",test_response,0.25,num-ident-48
EGMA,1,math,Number Identification,-2.5,number-identification-12,Choose the number you hear.,11,91,5000,91,,"71,1,90",test_response,0.25,num-ident-91
EGMA,1,math,Number Identification,-2.5,number-identification-13,Choose the number you hear.,12,33,5000,33,,"30,43,23",test_response,0.25,num-ident-33
EGMA,1,math,Number Identification,-2.5,number-identification-14,Choose the number you hear.,13,74,5000,74,,"79,68,84",test_response,0.25,num-ident-74
EGMA,1,math,Number Identification,-2.5,number-identification-15,Choose the number you hear.,14,87,5000,87,,"67,78,77",test_response,0.25,num-ident-87
EGMA,1,math,Number Identification,-2.5,number-identification-16,Choose the number you hear.,15,65,5000,65,,"60,55,56",test_response,0.25,num-ident-65
EGMA,1,math,Number Identification,-2,number-identification-17,Choose the number you hear.,16,108,5000,108,,"109,100,8",test_response,0.25,num-ident-108
EGMA,1,math,Number Identification,-2,number-identification-18,Choose the number you hear.,17,245,5000,245,,"250,205,240",test_response,0.25,num-ident-245
EGMA,1,math,Number Identification,-2,number-identification-19,Choose the number you hear.,18,587,5000,587,,"687,87,507",test_response,0.25,num-ident-587
EGMA,1,math,Number Identification,-2,number-identification-20,Choose the number you hear.,19,731,5000,731,,"703,31,730",test_response,0.25,num-ident-731
EGMA,1,math,Number Identification,-2,number-identification-21,Choose the number you hear.,20,989,5000,989,,"982,89,980",test_response,0.25,num-ident-989
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt1,Which number is larger?,21,"8, 4",5000,8,practice,4,practice_response,0.5,num-comp-8
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt1,Which number is larger?,22,"10, 12",5000,12,practice,10,practice_response,0.5,num-comp-12
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,23,"7, 5",5000,7,,5,,0.5,num-comp-7
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,24,"11, 24",5000,24,,11,,0.5,num-comp-24
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,25,"39, 23",5000,39,,23,,0.5,num-comp-39
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,26,"58, 49",5000,58,,49,,0.5,num-comp-58
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,27,"65, 67",5000,67,,65,,0.5,num-comp-67
EGMA,2,math,Number Comparison,-2.5,number-comparison-prompt2,Which is larger?,28,"94, 78",5000,94,,78,,0.5,num-comp-94
EGMA,2,math,Number Comparison,-2,number-comparison-prompt2,Which is larger?,29,"146, 153",5000,153,,146,,0.5,num-comp-153
EGMA,2,math,Number Comparison,-2,number-comparison-prompt2,Which is larger?,30,"287, 534",5000,534,,287,,0.5,num-comp-534
EGMA,2,math,Number Comparison,-2,number-comparison-prompt2,Which is larger?,31,"623, 632",5000,632,,623,,0.5,num-comp-632
EGMA,2,math,Number Comparison,-2,number-comparison-prompt2,Which is larger?,32,"867, 965",5000,965,,867,,0.5,num-comp-965
EGMA,4,math,Missing Number,-2,missing-number-prompt1,What number goes in the blank?,33,"1, 2, _, 4",5000,3,practice,"0,5,2",practice_response,0.25,missing-num-3
EGMA,4,math,Missing Number,-2,missing-number-prompt2,What number goes here?,34,"5, 10, 15, _",5000,20,practice,"25,30,35",practice_response,0.25,missing-num-20
