survey_name,orig_item_num,item_text,variable_name,response_type,response_options,response_options_text,age_range,form_construct,form_subconstruct,response_directed,form_frequency,Acknowledgements,Outstanding questions
,,,ChildAgeYears,,,,,Age,,,,,
National Survey of Children's Health,C4,What is this child's CURRENT height?,ChildHeight,open_ended,NA,Customize measurement system markers by site,,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,C5,How much does this child CURRENTLY weigh?,ChildWeight,open_ended,NA,Customize measurement system markers by site,,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
Many Babies Demographics,,Was your child born early (more than three weeks before due date)?,ChildBornEarly,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Prematurity,caregiver about child,one time,,
Many Babies Demographics,,How much did your child weigh at birth?,ChildWeightBirth,open_ended,NA,NA,,Child Health/Well-Being,Prematurity,caregiver about child,one time,,
National Survey of Children's Health,A1,"In general, how would you describe this child's health?",ChildHealth,numeric_scale,"5, 4, 3, 2, 1","Excellent, Very good, Good, Fair, Poor",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A2,How would you describe the condition of this child's teeth?,ChildTeeth,numeric_scale,"5, 4, 3, 2, 1","Excellent, Very good, Good, Fair, Poor",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,G6,"DURING THE PAST WEEK, on how many days did this child exercise, play a sport, or participate in physical activity for at least 60 minutes?",ChildPhysicalActivity,numeric_scale,"0, 1, 2, 3","0 days, 1-3 days, 4-6 days, Every day",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3,"DURING THE PAST 12 MONTHS, has this child had FREQUENT or CHRONIC difficulty with any of the following?",ChildChronicHealth,,,NA,,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3a,Breathing or other respiratory problems (such as wheezing or shortness of breath),ChildBreathing,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3b,Eating or swallowing because of a health condition,ChildEating,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3c,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea",ChildDigestion,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3d,"Repeated or chronic physical pain, including headaches or other back or body pain",ChildPain,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3e,Toothaches,ChildToothache,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3f,Bleeding gums,ChildGums,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A3g,Decayed teeth or cavities,ChildCavities,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A4,Does this child have any of the following?,ChildHealthOther,NA,NA,NA,,Child Health/Well-Being,NA,caregiver about child,longitudinal,,
National Survey of Children's Health,A4a,"Serious difficulty concentrating, remember, or making decisions because of a physical, mental, or emotional condition",ChildConcentration,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A4b,Serious difficulty walking or climbing stairs,ChildStairs,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A4c,Difficulty dressing or bathing,ChildDressBathe,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A4d,Deafness or problems with hearing,ChildHearing,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A4e,"Blindness or problems with seeing, even when wearing glasses",ChildEyesight,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
Many Babies Demographics,MBa,"Does your child have any other vision or hearing issues (e.g., frequent ear infections)? ",ChildVisionHearingOther,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
Many Babies Demographics,MBa2,"If yes, please explain:",ChildVisionHearingExp,open_ended,NA,NA,,Child Health/Well-Being,General Health,,,,
National Survey of Children's Health,A19,Has a doctor or other health care provider EVER told you that this child has a genetic or inherited condition?,ChildGenetic,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,General Health,caregiver about child,longitudinal,,
National Survey of Children's Health,A19a,"If yes, please explain:",ChildGeneticExp,open_ended,NA,NA,,Child Health/Well-Being,General Health,,,,
National Survey of Children's Health,A20,"Has a doctor or other health care provider, or educator EVER told you that this child has any of the following (answer yes or no to all):",ChildHealthConditions,"Branching logic for each item to includes
If yes, does the child CURRENTLY have the condition?
AND
If yes, is it: Mild, Moderate, Severe",,NA,,Child Health/Well-Being,NA,caregiver about child,longitudinal,,
National Survey of Children's Health,A20a1,Behavioral or Conduct Problems,ChildConduct,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Behavior,caregiver about child,longitudinal,,
National Survey of Children's Health,A20a2,Does this child CURRENTLY have Behavioral or Conduct Problems?,ChildConductCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Behavior,,,,
National Survey of Children's Health,A20a3,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?",ChildConductLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Behavior,,,,
National Survey of Children's Health,A20b1,Developmental Delay,ChildDevDelay,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20b2,Does this child CURRENTLY have Developmental Delay?,ChildDevDelayCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20b3,"Are the current Developmental Delays, Mild, Moderate, or Severe?",ChildDevDelayLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20c1,Intellectual Disability,ChildIntellDis,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20c2,Does this child CURRENTLY have an Intellectual Disability?,ChildIntellDisCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20c3,"Is the current Intellectual Disability, Mild, Moderate, or Severe?",ChildIntellDisLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20d1,Speech or other language disorder,ChildSpeechLang,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20d2,Does this child CURRENTLY have a Speech or other language disorder?,ChildSpeechLangCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20d3,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?",ChildSpeechLangLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20e1,Learning Disability,ChildLearnDis,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20e2,Does this child CURRENTLY have a Learning Disability?,ChildLearnDisCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20e3,"Is the current Learning Disability, Mild, Moderate, or Severe?",ChidLearnDisLevel,numeric_scale,"1, 2, 3","Mild, Moderate, Severe",,Child Health/Well-Being,Cognition and Learning,,,,
National Survey of Children's Health,A20f1,Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder),ChildAutism,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,caregiver about child,longitudinal,,
National Survey of Children's Health,A20f2,Does this child CURRENTLY have an Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder)?,ChildAutismCurrent,yes_no,"0, 1","No, Yes",,Child Health/Well-Being,Cognition and Learning,,,,
